date,bitcoin,bitcoin_cash,ethereum,litecoin,ripple
16/7/2017,1900.86,321.702,149.804,41.958,0.161574
13/1/2015,293.754,212.215,,1.65324,0.0207838
16/10/2013,133.99,,,2.01653,0.0141405
16/3/2014,573.53,,,16.1083,0.0158142
5/8/2016,573.437,409.987,10.9807,3.71733,0.00573744
14/10/2016,637.365,454.066,11.8184,3.91315,0.00799648
23/6/2015,243.995,737.044,,3.01047,0.0109
12/7/2016,646.921,480.411,10.3507,4.1005,0.00663127
29/12/2013,850.15,,,26.3484,0.0234149
19/6/2013,121.16,,,2.83148,
26/4/2015,234.599,295.027,,1.42956,0.00802036
29/11/2016,736.835,425.751,8.81287,3.8826,0.00702869
19/11/2013,216.48,,,3.08807,0.00653112
20/5/2013,111.25,,,3.50733,
10/10/2014,376.265,358.818,,3.56901,0.0047863
7/10/2017,4418.22,384.663,311.854,52.4993,0.241897
22/5/2017,2075.14,311.642,140.911,26.2407,0.340607
29/6/2017,2536.94,327.955,315.543,41.4514,0.265626
11/9/2017,4231.63,341.484,293.915,69.5672,0.218316
8/2/2016,377.141,652.855,2.58442,3.10618,0.00840491
26/12/2013,852.89,,,30.7196,0.034352
3/1/2014,711.94,,,16.9291,0.0215525
8/3/2015,270.295,277.651,,1.92551,0.00986581
19/8/2015,261.6,649.421,1.2777,3.99292,0.00828588
23/12/2013,837.82,,,35.1318,0.0437476
16/2/2017,1005.66,339.127,12.8412,3.79724,0.00617138
11/10/2013,128.92,,,2.34505,0.0100193
30/12/2013,868.93,,,23.2584,0.0183658
3/9/2015,227.657,635.308,1.36205,2.81762,0.00781776
17/7/2014,624.45,,,7.84225,0.00427641
13/2/2017,1000.53,344.096,11.3418,3.76948,0.00629487
21/10/2013,128.78,,,2.05116,0.00946689
18/3/2014,663.72,,,15.853,0.0152577
8/11/2014,329.199,287.529,,3.59228,0.00478919
21/9/2015,232.424,607.602,0.854085,2.84883,0.0074333
19/5/2017,1826.55,312.977,94.3087,28.1173,0.340955
5/11/2016,706.089,440.558,10.9237,3.8658,0.0081554
12/7/2017,2377.5,324.072,216.768,47.1294,0.202495
20/8/2015,258.241,652.695,1.25111,3.86625,0.00818984
5/3/2014,625.23,,,14.0435,0.0147336
24/6/2016,593.038,464.895,12.8942,3.79965,0.00659157
9/6/2017,2728.54,321.73,257.089,30.3556,0.299493
28/5/2016,474.069,418.476,10.9294,4.58693,0.00567117
6/10/2014,381.14,388.829,,4.4236,0.00466731
28/9/2015,233.933,611.761,0.742177,2.88772,0.00652355
15/2/2016,394.577,610.109,4.53955,3.20012,0.00849379
